id	title	description	availability	condition	price	sale_price	link	image_link	brand	product_type	gtin
B01	Boné Exclusivo Biobone - Feito de plantas	⚡ Boné Biobone — Edição Super Limitada Para quem carrega o lifestyle Biobone dentro e fora dos passeios. Design minimalista, cor marcante e a assinatura “feito de plantas” que traduz o DNA da marca em cada detalhe. Um acessório criado para quem vive o movimento com estilo, propósito e atitude. Produção em edição super limitada. Feito para poucos. ✔ Ajuste confortável e leve ✔ Visual clean e versátil ✔ Peça exclusiva da coleção Biobone Quando acabar, acabou. Biobone não é só para cães. É	in stock	new	129.00 BRL		https://www.biobonebrazil.com.br/bone-01?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/301602750/whatsapp-image-2024-08-22-at-12-04-38--1--w0urpffpk2-hu6grpr614.jpeg	Zero Plastic	Todos os Produtos	
EBOOK-GCPADDC	[E-Book] Guia Completo Para Acabar Com a Destruição Dentro de Casa	Seu cão destrói o sofá, os sapatos e tudo que vê pela frente quando fica sozinho? A culpa não é dele — e provavelmente não é sua também. Você chega em casa cansado e encontra o travesseiro despedaçado, o canto da mesa roído, a sandália nova destruída. Vem a frustração e, logo depois, aquela pergunta: “será que estou fazendo algo errado?” A verdade é que mastigar é instinto. Seu cão não está te castigando — ele só não tem para onde canalizar uma necessidade biológica que está gravada nele desde os...	in stock	new	99.00 BRL		https://www.biobonebrazil.com.br/guia-completo-para-acabar-com-a-destruicao-dentro-de-casa?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/401877167/70c996741ec0427db3adc03d333e2d96-1c11kq3jdp.png	Bio Bone	E-BOOK	
14204	COMBO PORTE M - MORDIDA MODERADA (33% OFF)	Biobone – Produto para Cães 100% Vegetal e Sem Plástico A Biobone é uma nova geração de produtos para cães, feita à base de plantas, biodegradável e totalmente livre de plástico. Desenvolvida para atender ao instinto natural de mastigação, é uma alternativa mais segura e moderna aos produtos tradicionais de	in stock	new	272.00 BRL	180.00 BRL	https://www.biobonebrazil.com.br/combo-porte-m-mordida-moderada-33-off?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/402837942/45252979886ee94eabe6184264f80b38-orkqf5jih2.png	Bio Bone	OFERTAS	
BSEE	BioSnacks - Espinafre com Ervas Finas	Petisco Natural de Espinafre com Ervas Finas – BioBone Saudável, nutritivo e feito com ingredientes que você reconhece! Nosso petisco de Espinafre com Ervas Finas é uma opção 100% natural para quem busca oferecer ao pet uma alimentação mais consciente e equilibrada. Feito artesanalmente, à mão, com apenas 6 ingredientes : espinafre, ovo, farinha de aveia, azeite, orégano e manjericão. Nada além disso. Sem conservantes. Sem corantes. Sem aditivos químicos. E claro, sem glúten. A conservação do produto...	in stock	new	39.00 BRL		https://www.biobonebrazil.com.br/copia-de-biosnacks-banana-com-alfarroba-em-07042025-as-210911?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/346651788/7898975377202-4-158erb09r7.png	Zero Plastic	PETISCOS	7898975377219
14203	COMBO PORTE P - MORDIDA EXTRA FORTE (33% OFF)	Biobone – Produto para Cães 100% Vegetal e Sem Plástico A Biobone é uma nova geração de produtos para cães, feita à base de plantas, biodegradável e totalmente livre de plástico. Desenvolvida para atender ao instinto natural de mastigação, é uma alternativa mais segura e moderna aos produtos tradicionais de	in stock	new	213.00 BRL	140.00 BRL	https://www.biobonebrazil.com.br/combo-porte-p-mordida-extra-forte-33-off?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/402837945/7359bad158c55c338d3ecae2a795ee02-8f1n4yiqny.png	Bio Bone	OFERTAS	
14201	COMBO PORTE P - MORDIDA MODERADA (33% OFF)	Biobone – Produto para Cães 100% Vegetal e Sem Plástico A Biobone é uma nova geração de produtos para cães, feita à base de plantas, biodegradável e totalmente livre de plástico. Desenvolvida para atender ao instinto natural de mastigação, é uma alternativa mais segura e moderna aos produtos tradicionais de	in stock	new	213.00 BRL	140.00 BRL	https://www.biobonebrazil.com.br/combo-porte-p-mordida-moderada-33-off?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/402837957/fa7e89761d353954757976dd0cf15cc1-gv4uerq2ib.png	Bio Bone	OFERTAS	
14202	COMBO PORTE P - MORDIDA FORTE (33% OFF)	Biobone – Produto para Cães 100% Vegetal e Sem Plástico A Biobone é uma nova geração de produtos para cães, feita à base de plantas, biodegradável e totalmente livre de plástico. Desenvolvida para atender ao instinto natural de mastigação, é uma alternativa mais segura e moderna aos produtos tradicionais de	in stock	new	213.00 BRL	140.00 BRL	https://www.biobonebrazil.com.br/combo-porte-p-mordida-forte-33-off?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/402837951/1ecacb2fac3dcb3c12c2455eac5a6102-sdtaur5zd9.png	Bio Bone	OFERTAS	
14208	COMBO PORTE G - MORDIDA FORTE (33% OFF)	Biobone – Produto para Cães 100% Vegetal e Sem Plástico A Biobone é uma nova geração de produtos para cães, feita à base de plantas, biodegradável e totalmente livre de plástico. Desenvolvida para atender ao instinto natural de mastigação, é uma alternativa mais segura e moderna aos produtos tradicionais de	in stock	new	406.00 BRL	272.00 BRL	https://www.biobonebrazil.com.br/combo-porte-g-mordida-forte-33-off?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/402837923/dfc4a817b428a68194b3dfe49e748f15-podl0jxixf.png	Bio Bone	OFERTAS	
COGC	COGUMELO CANA - MORDIDA FORTE	Conheça a Biobone A Biobone é uma nova geração de produtos para cães: feita à base de plantas, biodegradável e 100% livre de plástico . Criamos uma alternativa real aos materiais sintéticos, unindo tecnologia, segurança e sustentabilidade para atender ao instinto natural de mastigação dos cães. Seu cão ama roer — e a Biobone foi feita exatamente pra isso. 🌱 Do que é feita? A Biobone é produzida através da fermentação do bagaço de cana-de-açúcar — um processo natural, semelhante ao da kombucha ou do pão de...	in stock	new	69.00 BRL		https://www.biobonebrazil.com.br/cogumelo-cana-mordida-forte?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286808/e5c4fb46c1b94382826125b2f2b9f7ae-jcx80pstji.png	Zero Plastic	LANÇAMENTOS	7898975377585
COGL	COGUMELO LARANJA - MORDIDA MODERADA	Conheça a Biobone A Biobone é uma nova geração de produtos para cães: feita à base de plantas, biodegradável e 100% livre de plástico . Criamos uma alternativa real aos materiais sintéticos, unindo tecnologia, segurança e sustentabilidade para atender ao instinto natural de mastigação dos cães. Seu cão ama roer — e a Biobone foi feita exatamente pra isso. 🌱 Do que é feita? A Biobone é produzida através da fermentação do bagaço de cana-de-açúcar — um processo natural, semelhante ao da kombucha ou do pão de...	in stock	new	69.00 BRL		https://www.biobonebrazil.com.br/cogumelo-laranja-mordida-moderada?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286806/af17903bfe4d496399fd577b30b0dff7-7ueor38u89.png	Bio Bone	LANÇAMENTOS	7898975377578
